S NO.,Date,Nifty50_Open,SPOTRATE_CLOSE,SR_OUTPUT,SP500_CLOSE,SP500_OUTPUT,NASDAQ100_CLOSE,NASDAQ_OUTPUT,CRUDE_OIL_CLOSE,CRUDE_OIL_OUTPUT,LSE_CLOSE,LSE_OUTPUT
237,05-08-2021,16288.95,15.73,0.38,4429.1,0.47,15181.64,0.67,69.09,2.57,7468,1.63
238,04-08-2021,16195.25,16.24,2.78,4402.68,0.36,15083.39,0.67,68.15,4.36,7460,1.88
239,03-08-2021,15951.55,15.67,0.38,4423.15,1.16,15061.42,1.34,70.56,4,7416,2.13
240,02-08-2021,15874.9,15.58,0.39,4387.11,0.85,14963.62,0.77,71.26,4.82,7500,2.39
241,30-07-2021,15800.6,16.34,0.86,4395.26,0.51,14959.9,0.73,73.95,1.78,7490,3.51
242,29-07-2021,15762.7,15.98,0.38,4419.15,0.6,15048.36,0.58,73.62,1.97,7318,1.13
243,28-07-2021,15761.55,15.46,1.16,4400.65,0.65,15018.1,1.11,72.39,1.26,7314,2.44
244,27-07-2021,15860.5,15.4,0.65,4401.46,1,14956.97,2.16,71.65,1.76,7338,1.74
245,26-07-2021,15849.3,15.63,1.66,4422.23,0.39,15125.95,0.63,71.91,2.65,7424,2.56
246,23-07-2021,15856.8,15.62,1.34,4411.8,0.78,15111.79,1.19,72.07,1.15,7624,1.76
247,22-07-2021,15736.6,15.31,1.63,4367.48,0.44,14940.17,0.51,71.91,3.11,7550,1.47
248,20-07-2021,15703.95,16.4,2.12,4323.21,1.75,14728.21,1.79,67.42,3.74,7500,2.17
249,19-07-2021,15754.5,15.68,0.06,4258.63,1.49,14549.09,0.86,66.42,9.2,7600,1.68
250,16-07-2021,15958.35,16.07,2.18,4327.16,1.22,14681.38,1.42,71.81,2.68,7600,1.37
251,15-07-2021,15872.15,16.34,1.71,4360.03,0.65,14794.69,1.29,71.65,2.18,7568,3.88
252,14-07-2021,15808.7,16.29,1.75,4374.3,0.72,14900.44,0.87,73.13,4.47,7660,2.39
253,13-07-2021,15794,15.72,0.38,4369.21,0.58,14874.54,1.07,75.25,2.5,7800,2.26
254,12-07-2021,15766.8,15.45,0.39,4384.63,0.52,14877.89,0.58,74.1,2.42,7942,1.6
255,09-07-2021,15688.25,15.67,0.64,4369.55,0.98,14826.09,1.04,74.56,2.81,7872,1.88
256,08-07-2021,15855.4,15.98,1.59,4320.82,0.97,14722.14,1.46,72.94,3.53,7864,2.78
257,07-07-2021,15819.6,15.65,0.58,4358.13,0.74,14810.53,1.05,72.2,5.33,8060,2.43
258,06-07-2021,15813.75,15.31,3.4,4343.54,0.98,14786.36,1.11,73.37,5.54,7970,1.97
259,05-07-2021,15793.4,15.16,0.13,4347.94,0.82,14757,0.93,76.25,2.21,7876,1.05
260,02-07-2021,15705.85,15.1,2.44,4352.34,0.67,14727.63,0.76,75.16,1.63,7896,1.17
261,01-07-2021,15755.05,14.81,0.95,4319.94,0.46,14560.05,0.64,75.23,3.86,7878,3.43
262,30-06-2021,15776.9,14.02,0.36,4297.5,0.34,14554.8,0.35,73.47,1.81,7970,2.72
263,29-06-2021,15807.5,14.61,1.6,4291.8,0.31,14572.75,0.64,72.98,2.56,8168,1.38
264,28-06-2021,15915.35,14.7,0.55,4290.61,0.41,14524.98,0.9,72.91,2.52,8148,2.12
265,25-06-2021,15839.35,14.79,0.41,4280.7,0.35,14345.18,0.54,74.05,1.83,8282,2.19
266,24-06-2021,15737.3,14.82,1.72,4266.49,0.34,14365.96,0.64,73.3,1.78,8182,1.88
267,23-06-2021,15862.8,15.09,2.37,4241.84,0.36,14274.24,0.54,73.08,1.96,8098,1.83
268,22-06-2021,15840.5,14.99,1.49,4246.44,0.91,14270.42,1.14,73.06,1.38,8220,1.66
269,21-06-2021,15525.85,14.83,1.43,4224.79,1.27,14137.23,1.31,73.66,3.95,8124,2.96
